nu,unc,A,S,"E""",g',"g""",J',"J""",Grve',v1',v2',v3',Ka',Kc',"Grve""","v1""","v2""","v3""","Ka""","Kc"""
6892.551253,0.000105,0.010509,2.773641278510874e-26,757.78015,11,13,5,6, A2,1,2,0,5,1, A1,0,0,0,4,2
6892.559288,4.8e-05,0.001145,4.061223633573469e-25,222.052782,7,9,3,4, A2,1,2,0,3,1, A1,0,0,0,0,4
6892.634423,5.5e-05,0.02254,1.03150449871934e-22,42.371737,15,9,2,1, B1,1,2,0,2,1, B2,0,0,0,1,0
6892.737481,0.000176,11.222,8.860824175922758e-30,2358.300366,29,31,14,15, A1,1,0,1,1,14, A2,0,0,0,1,15
6892.738703,0.000176,11.23,2.660162731254877e-29,2358.299561,87,93,14,15, B2,1,0,1,0,14, B1,0,0,0,0,15
6892.920842,6e-05,0.027533,4.4518147815722e-27,1201.921026,57,57,9,9, B2,1,2,0,3,6, B1,0,0,0,2,7
6893.099912,8.6e-05,5.7581,2.840876301561573e-29,2142.596649,21,23,10,11, A2,1,0,1,6,5, A1,0,0,0,6,6
6893.181547,5.3e-05,0.0011529,4.540537323252023e-26,503.968096,13,11,6,5, A1,1,2,0,2,4, A2,0,0,0,3,3
6893.241658,4.5e-05,0.24618,7.7732050891237975e-22,79.496382,15,15,2,2, B1,0,2,1,1,1, B2,0,0,0,1,2
6893.307699,6.5e-05,10.616,2.173614307283295e-29,2248.063135,25,27,12,13, A1,1,0,1,3,10, A2,0,0,0,3,11
6893.376579,4.2e-05,0.34578,2.4609733517609715e-29,1875.461271,21,21,10,10, A2,1,0,1,4,7, A1,0,0,0,6,4
6893.43597,7.6e-05,1.3997,6.04099977700057e-28,1695.067603,21,23,10,11, A1,2,0,0,2,8, A2,0,0,0,3,9
6893.547113,3.3e-05,0.00054125,4.305249361826158e-29,1282.918767,63,57,10,9, B1,0,2,1,1,9, B2,0,0,0,3,6
6893.608209,0.000105,0.0075748,6.059377339890735e-26,756.724702,33,39,5,6, B2,1,2,0,5,0, B1,0,0,0,4,3
6893.64771,4.4e-05,1.0321,1.8732699226581985e-21,134.901644,15,15,2,2, B2,0,2,1,2,0, B1,0,0,0,2,1
6894.153768,7e-05,0.0031961,7.937351418708354e-26,488.134172,7,9,3,4, A2,1,0,1,0,3, A1,0,0,0,4,0
6894.370657,0.000219,1.9678,3.314257008132869e-28,1806.670049,25,27,12,13, A1,2,0,0,0,12, A2,0,0,0,1,13
